序号,需求描述,部门,频次
1,"把上月的费用报表自动汇总成台账",财务,高
2,"问报销制度里差旅住宿标准怎么定",财务,高
3,"扫描件里的发票信息自动识别入库",财务,中
4,"生成季度经营分析报告初稿",财务,中
5,"费用报销单据自动核对预算科目",财务,高
6,"找一下去年差旅费管理办法的原文",财务,中
7,"月度资金计划表自动比对实际支出",财务,高
8,"把各部门提交的费用表合并成一张总表",财务,中
9,"供应商资质文件批量识别并归档",招采,中
10,"问采购流程里比价需要几家报价",招采,高
11,"比价结果自动汇总并生成对比表",招采,高
12,"招标文档自动生成标准条款模板",招采,中
13,"采购合同关键信息抽取成结构化台账",招采,高
14,"跨部门会签一个采购申请要多久能走完",招采,中
15,"把历史中标价格做成可查询的库",招采,中
16,"供应商名录按品类自动分组维护",招采,低
17,"员工入职材料清单怎么查",人力,中
18,"简历批量解析并录入候选人台账",人力,高
19,"生成月度招聘进展报告",人力,中
20,"考勤异常数据自动统计并推送给主管",人力,高
21,"年假余额自动核算并推送给员工核对",人力,中
22,"绩效面谈记录模板自动生成",人力,低
23,"合同条款合规性自动检查",法务,中
24,"扫描版合同转成可检索的文本",法务,高
25,"问标准合同模板在哪下载",法务,中
26,"诉讼案件进度跟踪与提醒",法务,低
27,"法规更新后自动比对现有模板差异",法务,中
28,"会议室预订状态和冲突提醒",行政,中
29,"办公资产台账自动盘点核对",行政,低
30,"印章使用记录自动统计并导出台账",行政,低
31,"工单进度能实时看到卡在谁那里",IT,高
32,"系统权限申请与变更走线上流程",IT,中
33,"故障报告自动生成并归档",IT,中
34,"查一下账号密码重置怎么操作",IT,中
35,"接口调用异常日志自动汇总告警",IT,高
36,"各部门文档权限按角色自动配置",IT,中
37,"运营活动数据看板自动更新",运营,中
38,"竞品动态每日自动抓取并摘要",运营,中
39,"内容发布前自动套用审核模板逐条校验",运营,低
40,"批量生成各渠道的推广文案",运营,中
41,"客户反馈自动分类并派给对应负责人",市场,高
